"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not","YOUTH","english_ablitity_speak","english_ablitity_reading","Gender","Background_Asian"
"13",0,0,1,1,1,"My chances of voting are less than 50-50","Not at all","Interested","(2) No",1945,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(2) Just a little","Female","Cambodian"
"14",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Very Interested","(2) No",1930,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Cambodian"
"15",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1946,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Male","Cambodian"
"16",1,0,0,1,1,"My chances of voting are less than 50-50","Not too often","Somewhat Interested","(1) Yes",1971,1990,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"17",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Somewhat Interested","(2) No",1971,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"18",0,1,1,1,0,"I will not vote this year","Not too often","Very Interested","(1) Yes",1983,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Cambodian"
"19",1,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1957,1979,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"20",0,0,0,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1957,2003,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"21",1,0,0,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1949,1988,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"22",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1957,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"23",1,0,1,1,0,"My chances of voting are 50-50","Not at all","Not at all Interested","(2) No",1942,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"24",1,0,0,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1960,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"25",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(1) Yes",1938,1974,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"26",0,0,1,1,0,"I will not vote this year","Not too often","Somewhat Interested","(1) Yes",1953,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"27",1,0,0,1,0,"I will not vote this year","Not too often","Somewhat Interested","(2) No",1953,1986,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"28",0,0,1,1,1,"I am pretty likely to vote","Not too often","Somewhat Interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"29",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1941,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"30",0,0,0,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1992,1992,"(13) chinese","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Chinese"
"31",1,1,0,1,1,"I am absolutely certain I will vote","Not at all","Very Interested","(1) Yes",1977,1991,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Male","Cambodian"
"32",1,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(1) Yes",1948,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"33",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1957,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"34",0,0,0,1,0,"I will not vote this year","Not too often","Interested","(2) No",1973,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"35",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Interested","(1) Yes",1952,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"36",0,0,0,1,0,"I will not vote this year","Not too often","Interested","(2) No",1960,1992,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"37",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1951,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"38",0,1,0,1,1,"I am absolutely certain I will vote","Very often","Somewhat Interested","(1) Yes",1983,1990,"(11) asnindian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Indian"
"39",1,0,1,1,0,"I am pretty likely to vote","Not too often","Somewhat Interested","(1) Yes",1969,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"40",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1942,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"41",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1953,1982,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"42",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1956,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"43",1,0,1,1,1,"I am pretty likely to vote","Very often","Very Interested","(1) Yes",1955,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"44",1,0,0,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1955,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"45",0,0,0,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1940,1994,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"46",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1952,1979,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"47",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Somewhat Interested","(1) Yes",1951,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"48",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1950,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"49",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"50",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1941,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"51",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1989,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"52",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1957,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"53",0,0,1,1,0,"My chances of voting are less than 50-50","Not at all","Not at all Interested","(2) No",1952,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"54",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1989,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"55",1,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1952,1985,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"56",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(1) Yes",1958,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"57",0,0,1,1,0,"I will not vote this year","Not too often","Not at all Interested","(2) No",1952,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"58",0,0,0,1,1,"My chances of voting are less than 50-50","Not at all","Not at all Interested","(2) No",1965,1988,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"59",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1960,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"60",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1960,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(4) Very well","(4) Very well","Male","Cambodian"
"61",0,0,1,1,0,"My chances of voting are less than 50-50","Somewhat often","Very Interested",NA,1941,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"62",1,0,0,1,0,"I will not vote this year","Not at all","Very Interested","(2) No",1953,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"63",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1960,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"64",1,0,1,1,0,"My chances of voting are less than 50-50","Not at all","Somewhat Interested","(2) No",1955,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"65",0,0,0,1,0,"My chances of voting are less than 50-50","Very often","Interested",NA,1952,1986,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"66",0,0,1,1,0,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"67",0,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(1) Yes",1948,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"68",1,0,NA,0,0,"My chances of voting are 50-50","Not at all","Very Interested","(1) Yes",1964,NA,"(12) cambodian","(1) Citizen","Not Registered","Native Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"69",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Not at all Interested","(1) Yes",1960,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(2) Just a little","Female","Cambodian"
"70",0,0,NA,1,1,"I am absolutely certain I will vote","Very often","Interested","(2) No",1953,NA,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(1) Not at all","Female","Cambodian"
"71",0,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(2) No",1955,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"72",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(2) No",1946,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Male","Cambodian"
"73",0,0,1,1,1,NA,"Not at all","Not at all Interested","(2) No",1962,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"74",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(2) No",1953,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(3) Pretty well","Male","Cambodian"
"75",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested",NA,1956,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"76",0,0,0,1,1,"I am pretty likely to vote","Very often","Interested","(2) No",1949,1989,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(1) Not at all","(1) Not at all","Female","Cambodian"
"77",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(2) No",1953,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(1) Not at all","Female","Cambodian"
"78",1,0,1,1,1,"I am absolutely certain I will vote","Very often","Very Interested","(2) No",1937,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(3) Pretty well","Male","Cambodian"
"79",0,0,1,1,0,"I will not vote this year","Very often","Very Interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"80",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"81",1,0,1,1,1,"I will not vote this year","Not at all","Interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"82",0,0,1,1,0,"I am absolutely certain I will vote","Not too often","Somewhat Interested","(1) Yes",1952,1975,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"83",0,0,1,1,1,"I will not vote this year","Not at all","Not at all Interested","(2) No",1957,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"84",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1975,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"85",1,0,0,1,0,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1945,1987,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"86",1,0,1,1,1,"My chances of voting are 50-50","Not at all","Interested","(2) No",1947,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"87",0,0,1,1,1,"I am absolutely certain I will vote","Not too often","Not at all Interested","(2) No",1952,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"88",0,0,1,1,0,"My chances of voting are less than 50-50","Not at all","Somewhat Interested","(2) No",1950,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"89",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1954,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"90",0,0,1,1,0,"I will not vote this year","Not too often","Interested","(2) No",1957,1975,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"91",0,1,0,1,1,"I am absolutely certain I will vote","Somewhat often","Very Interested","(1) Yes",1997,2002,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Chinese"
"92",0,1,0,1,0,"I will not vote this year","Somewhat often","Very Interested","(2) No",1981,2001,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Cambodian"
"93",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1962,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"94",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1966,1984,"(13) chinese","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Chinese"
"95",0,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1957,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"96",0,0,0,1,1,"My chances of voting are 50-50","Not at all","Somewhat Interested","(2) No",1959,1986,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"97",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1955,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"98",0,0,1,1,1,"My chances of voting are 50-50","Very often","Interested","(2) No",1948,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(2) Just a little","Female","Cambodian"
"99",0,0,1,1,1,"I am pretty likely to vote","Very often","Very Interested","(1) Yes",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(1) Not at all","Female","Cambodian"
"100",1,0,1,1,1,"I am pretty likely to vote","Very often","Very Interested","(2) No",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(1) Not at all","Male","Cambodian"
"101",1,0,1,1,1,"I am absolutely certain I will vote","Not too often","Interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(3) Pretty well","(2) Just a little","Male","Cambodian"
"102",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Not at all Interested","(2) No",1939,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"103",1,0,1,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1954,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH","(2) Just a little","(3) Pretty well","Male","Cambodian"
"104",1,0,1,1,0,"I am absolutely certain I will vote","Somewhat often","Very Interested","(2) No",1962,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"105",1,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested",NA,1968,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"106",0,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1959,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"107",0,1,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1972,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(1) youth",NA,NA,"Female","Cambodian"
"108",0,0,1,1,0,"My chances of voting are less than 50-50","Not at all","Not at all Interested","(2) No",1959,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"109",0,0,1,1,0,"I will not vote this year","Not at all","Somewhat Interested","(2) No",1965,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"110",1,1,NA,0,0,"I will not vote this year","Somewhat often","Not at all Interested","(2) No",1987,NA,"(12) cambodian","(1) Citizen","Not Registered","Native Born Citizen","(1) youth",NA,NA,"Male","Cambodian"
"111",1,0,0,1,1,"I am absolutely certain I will vote","Not at all","Interested","(2) No",1968,2009,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"112",0,0,1,1,0,"I will not vote this year","Not at all","Not at all Interested","(2) No",1952,1985,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"113",0,0,1,1,1,"I am absolutely certain I will vote","Very often","Interested","(1) Yes",1951,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"114",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(2) No",1961,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"115",0,0,1,1,1,"My chances of voting are 50-50","Not at all","Somewhat Interested","(2) No",1960,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"116",0,0,1,1,0,NA,"Not at all","Not at all Interested","(1) Yes",1952,1979,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"117",1,0,1,1,1,"My chances of voting are 50-50","Not at all","Somewhat Interested","(2) No",1942,1979,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
"118",0,0,0,1,1,"I am absolutely certain I will vote","Somewhat often","Interested","(1) Yes",1966,2001,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Female","Cambodian"
"119",1,0,1,1,1,"I am absolutely certain I will vote","Not at all","Somewhat Interested","(1) Yes",1946,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen","(0) NOT YOUTH",NA,NA,"Male","Cambodian"
