"","gender_dummy","Youth_dummy","Arrival_dummy","Foreign_born_or_Not_dummy","Registered_or_not_dummy","Likely_vote","Often_discuss_poltics","Interested_In_Politics","Discussed_politics_with_famandfriend","year_born","Year_In_US","Ethnicity","Citizen_or_not","Registered_or_not","Foreign_born_or_Not"
"38",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(1) Yes",1952,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"39",0,0,0,0,0,"I will not vote this year","Not too often","(3) Interested","(2) No",1960,1992,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"40",0,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1951,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"41",0,1,0,0,0,"I am absolutely certain I will vote","Very often","(2) Somewhat interested","(1) Yes",1983,1990,"(11) asnindian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"42",1,0,1,0,0,"I am pretty likely to vote","Not too often","(2) Somewhat interested","(1) Yes",1969,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"43",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1942,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"44",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1953,1982,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"45",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1956,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"46",1,0,1,0,0,"I am pretty likely to vote","Very often","(4) Very interested","(1) Yes",1955,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"47",1,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1955,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"48",0,0,0,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1940,1994,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"49",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1952,1979,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"50",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(1) Yes",1951,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"51",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1950,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"52",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"53",0,0,1,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1943,1981,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"54",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1941,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"55",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1989,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"56",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1957,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"57",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(1) Not at all interested","(2) No",1952,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"58",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1989,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"59",1,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1952,1985,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"60",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(1) Yes",1958,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"61",0,0,1,0,0,"I will not vote this year","Not too often","(1) Not at all interested","(2) No",1952,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"62",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1946,1987,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"63",0,0,0,0,0,"My chances of voting are less than 50-50","Not at all","(1) Not at all interested","(2) No",1965,1988,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"64",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1960,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"65",0,0,1,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1950,1980,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"66",0,0,1,0,NA,NA,"Not at all","(3) Interested","(2) No",1952,1984,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"67",0,1,1,0,NA,NA,"Somewhat often","(1) Not at all interested","(2) No",1984,1982,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"68",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(1) Yes",1960,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"69",0,0,1,0,0,"My chances of voting are less than 50-50","Somewhat often","(4) Very interested",NA,1941,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"70",1,0,0,0,0,"I will not vote this year","Not at all","(4) Very interested","(2) No",1953,1989,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"71",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1960,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"72",1,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(2) Somewhat interested","(2) No",1955,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"73",0,0,0,0,0,"My chances of voting are less than 50-50","Very often","(3) Interested",NA,1952,1986,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"74",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"75",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1948,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"76",1,0,NA,0,0,"My chances of voting are 50-50","Not at all","(4) Very interested","(1) Yes",1964,NA,"(12) cambodian","(1) Citizen","Not Registered","Native Born Citizen"
"77",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(1) Not at all interested","(1) Yes",1960,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"78",0,0,NA,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(2) No",1953,NA,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"79",0,0,1,0,NA,NA,NA,"(4) Very interested","(2) No",1958,1981,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"80",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(2) No",1955,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"81",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(2) No",1946,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"82",0,0,1,0,0,NA,"Not at all","(1) Not at all interested","(2) No",1962,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"83",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(2) No",1953,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"84",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested",NA,1956,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"85",0,0,0,0,0,"I am pretty likely to vote","Very often","(3) Interested","(2) No",1949,1989,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"86",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1953,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"87",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(2) No",1937,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"88",1,0,1,0,NA,NA,"Very often","(3) Interested","(2) No",1959,1984,"(12) cambodian","(1) Citizen",NA,"Foreign Born Citizen"
"89",0,0,1,0,0,"I will not vote this year","Very often","(4) Very interested","(2) No",1951,1980,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"90",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"91",1,0,1,0,0,"I will not vote this year","Not at all","(3) Interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"92",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(1) Yes",1952,1975,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"93",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1957,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"94",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1975,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"95",1,0,1,0,NA,NA,"Not at all","(2) Somewhat interested","(1) Yes",1976,1979,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"96",1,0,0,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1945,1987,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"97",1,0,1,0,0,"My chances of voting are 50-50","Not at all","(3) Interested","(2) No",1947,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"98",0,0,1,0,0,"I am absolutely certain I will vote","Not too often","(1) Not at all interested","(2) No",1952,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"99",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(2) Somewhat interested","(2) No",1950,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"100",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1954,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"101",0,0,1,0,0,"I will not vote this year","Not too often","(3) Interested","(2) No",1957,1975,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"102",0,1,0,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(1) Yes",1997,2002,"(13) chinese","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"103",0,1,0,0,0,"I will not vote this year","Somewhat often","(4) Very interested","(2) No",1981,2001,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"104",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1962,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"105",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1966,1984,"(13) chinese","(1) Citizen","Not Registered","Foreign Born Citizen"
"106",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(1) Yes",1957,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"107",0,0,0,0,NA,NA,"Somewhat often","(4) Very interested","(2) No",1966,1995,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"108",0,0,1,0,NA,NA,NA,"(4) Very interested","(2) No",1958,1983,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"109",0,0,0,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(2) No",1959,1986,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"110",1,0,1,0,NA,NA,"Very often","(4) Very interested","(2) No",1947,1981,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"111",0,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1955,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"112",0,0,1,0,0,"My chances of voting are 50-50","Very often","(3) Interested","(2) No",1948,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"113",1,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1948,2006,"(14) filipino","(0) Not a citizen",NA,"Foreign Born Citizen"
"114",0,0,1,0,0,"I am pretty likely to vote","Very often","(4) Very interested","(1) Yes",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"115",1,0,1,0,0,"I am pretty likely to vote","Very often","(4) Very interested","(2) No",1955,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"116",1,0,1,0,0,"I am absolutely certain I will vote","Not too often","(3) Interested","(2) No",1953,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"117",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1939,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"118",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(1) Yes",1954,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"119",1,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(4) Very interested","(2) No",1962,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"120",1,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested",NA,1968,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"121",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1959,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"122",0,0,1,0,NA,"My chances of voting are 50-50","Somewhat often","(2) Somewhat interested","(1) Yes",1970,1985,"(12) cambodian","(1) Citizen",NA,"Foreign Born Citizen"
"123",0,0,1,0,0,"My chances of voting are 50-50","Not at all","(1) Not at all interested","(2) No",1959,1982,"(12) cambodian","(1) Citizen","Not Sure Currently Registered","Foreign Born Citizen"
"124",0,1,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1972,1984,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"125",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(1) Not at all interested","(2) No",1959,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"126",0,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1965,1983,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"127",1,1,NA,0,0,"I will not vote this year","Somewhat often","(1) Not at all interested","(2) No",1987,NA,"(12) cambodian","(1) Citizen","Not Registered","Native Born Citizen"
"128",1,0,0,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1968,2009,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"129",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1952,1985,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"130",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1951,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"131",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1961,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"132",0,0,1,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(2) No",1960,1984,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"133",0,0,1,0,0,NA,"Not at all","(1) Not at all interested","(1) Yes",1952,1979,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"134",1,0,1,0,0,"My chances of voting are 50-50","Not at all","(2) Somewhat interested","(2) No",1942,1979,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"135",0,0,0,0,0,"I am absolutely certain I will vote","Somewhat often","(3) Interested","(1) Yes",1966,2001,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"136",1,0,1,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(1) Yes",1946,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"137",1,1,1,0,NA,NA,"Not at all","(4) Very interested","(1) Yes",1982,1985,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"138",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1956,1990,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"139",1,0,NA,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1981,NA,"(12) cambodian","(1) Citizen","Yes, Registered","Native Born Citizen"
"140",0,0,1,0,0,"My chances of voting are 50-50","Not too often","(3) Interested","(2) No",1960,1980,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"141",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1970,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"142",0,0,0,0,0,"My chances of voting are less than 50-50","Not at all","(1) Not at all interested","(2) No",1945,1996,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"143",1,0,0,0,0,"I am absolutely certain I will vote","Not too often","(2) Somewhat interested","(2) No",1962,1991,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"144",0,0,1,0,0,"My chances of voting are less than 50-50","Not at all","(4) Very interested","(2) No",1955,1943,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"145",0,0,NA,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1945,NA,"(12) cambodian","(1) Citizen","Yes, Registered","Native Born Citizen"
"146",0,0,0,0,NA,NA,"Not at all","(1) Not at all interested","(2) No",1950,1986,"(12) cambodian","(0) Not a citizen",NA,"Foreign Born Citizen"
"147",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(1) Not at all interested","(2) No",1940,1948,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"148",0,0,0,0,0,"My chances of voting are 50-50","Not at all","(4) Very interested","(2) No",1932,1986,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"149",1,0,1,0,0,"I will not vote this year","Very often","(3) Interested","(1) Yes",1950,1975,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"150",0,0,1,0,0,"I am absolutely certain I will vote","Somewhat often","(2) Somewhat interested","(2) No",1985,1985,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"151",0,0,1,0,0,NA,"Not too often","(1) Not at all interested","(2) No",1953,1975,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"152",0,0,1,0,0,"I will not vote this year","Not at all","(1) Not at all interested","(2) No",1949,1985,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"153",1,0,1,0,0,"I am absolutely certain I will vote","Very often","(4) Very interested","(1) Yes",1956,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"154",0,0,1,0,0,"I am absolutely certain I will vote","Not at all","(3) Interested","(2) No",1951,1982,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"155",0,0,1,0,0,"I will not vote this year","Not at all","(2) Somewhat interested","(2) No",1936,1981,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
"156",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(3) Interested","(1) Yes",1938,1981,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"157",0,0,1,0,0,"I will not vote this year","Not at all","(3) Interested","(2) No",1958,1983,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"158",0,0,1,0,0,"I am absolutely certain I will vote","Very often","(1) Not at all interested","(1) Yes",1959,1979,"(12) cambodian","(1) Citizen","Yes, Registered","Foreign Born Citizen"
"159",0,0,0,0,0,"I am absolutely certain I will vote","Not at all","(2) Somewhat interested","(2) No",1964,2001,"(12) cambodian","(1) Citizen","Not Registered","Foreign Born Citizen"
